month,bnf_name,bnf_code,total_items,total_cost
2010-08-01 00:00:00+00:00,Tramacet_Tab 37.5mg/325mg,040702040BFAAAU,6741,93751.57000000004
2010-08-01 00:00:00+00:00,Tramulief SR_Tab 150mg,040702040BKABAD,11,141.20000000000002
2010-08-01 00:00:00+00:00,Tramadol HCl_Orodisper Tab 50mg,040702040AAATAT,775,7404.950000000002
2010-08-01 00:00:00+00:00,Tramadol/Paracet_Tab Eff 37.5/325mg S/F,040702040AABABA,171,1881.5700000000024
2010-08-01 00:00:00+00:00,Dromadol SR_Tab 100mg,040702040BEABAC,20,251.99
2010-08-01 00:00:00+00:00,Zamadol 24hr_Tab 300mg,040702040BDAJAM,18,428.05
2010-08-01 00:00:00+00:00,Tramadol HCl_Tab 300mg M/R,040702040AAAMAM,405,11194.589999999995
2010-08-01 00:00:00+00:00,Tradorec XL_Tab 100mg,040702040BIAAAC,238,3641.090000000003
2010-08-01 00:00:00+00:00,Tramadol HCl_Tab 200mg M/R           &gn,040702040AAAXAX,343,10909.529999999995
2010-08-01 00:00:00+00:00,Tramadol HCl_Tab 50mg M/R,040702040AAAYAY,2761,12810.419999999996
2010-08-01 00:00:00+00:00,Mabron_Tab 200mg M/R (Morningside),040702040BHACAE,39,1188.97
2010-08-01 00:00:00+00:00,Tramadol HCl_Tab 200mg M/R,040702040AAAEAE,8114,251714.58000000007
2010-08-01 00:00:00+00:00,Maxitram SR_Cap 150mg,040702040BPACAI,63,944.6899999999999
2010-08-01 00:00:00+00:00,Mabron_Tab 100mg M/R (Morningside),040702040BHAAAC,138,2544.919999999999
2010-08-01 00:00:00+00:00,Tramulief SR_Tab 100mg,040702040BKAAAC,89,741.6
2010-08-01 00:00:00+00:00,Dromadol SR_Tab 200mg,040702040BEADAE,9,164.13
2010-08-01 00:00:00+00:00,Zeridame SR_Tab 100mg,040702040BLAAAC,22,360.22999999999996
2010-08-01 00:00:00+00:00,Zamadol 24hr_Tab 200mg,040702040BDAIAE,89,1686.0999999999997
2010-08-01 00:00:00+00:00,Tramadol HCl_Cap 150mg M/R,040702040AAAIAI,4018,80298.62
2010-08-01 00:00:00+00:00,Marol_Tab 200mg M/R,040702040BNACAE,423,5540.699999999998
2010-08-01 00:00:00+00:00,Tramadol HCl_Tab 400mg M/R,040702040AAANAN,430,14447.890000000007
2010-08-01 00:00:00+00:00,Zamadol_Cap 50mg,040702040BDAAAA,404,2966.9800000000046
2010-08-01 00:00:00+00:00,Tramquel SR_Cap 150mg,040702040BJACAI,12,238.01
2010-08-01 00:00:00+00:00,Zydol SR_Tab 50mg,040702040BBAKAY,97,455.3199999999999
2010-08-01 00:00:00+00:00,Tradorec XL_Tab 300mg,040702040BIACAM,100,2037.5800000000013
2010-08-01 00:00:00+00:00,Tramadol HCl_Cap 50mg,040702040AAAAAA,407471,1745092.1999999993
2010-08-01 00:00:00+00:00,Zeridame SR_Tab 150mg,040702040BLABAD,1,11.88
2010-08-01 00:00:00+00:00,Tramulief SR_Tab 200mg,040702040BKACAE,55,896.7300000000002
2010-08-01 00:00:00+00:00,Larapam SR_Tab 100mg,040702040BGAAAC,65,1160.0200000000002
2010-08-01 00:00:00+00:00,Zydol_Tab Solb 50mg,040702040BBAFAF,138,1614.3899999999996
2010-08-01 00:00:00+00:00,Zamadol 24hr_Tab 400mg,040702040BDAKAN,32,873.3299999999998
2010-08-01 00:00:00+00:00,Zamadol 24hr_Tab 150mg,040702040BDAHAD,34,478.5100000000001
2010-08-01 00:00:00+00:00,Dromadol SR_Tab 150mg,040702040BEACAD,3,67.12
2010-08-01 00:00:00+00:00,Tramquel SR_Cap 50mg,040702040BJAAAG,36,321.64000000000004
2010-08-01 00:00:00+00:00,Marol_Tab 150mg M/R,040702040BNABAD,156,1566.05
2010-08-01 00:00:00+00:00,Oldaram_Tab 100mg M/R,040702040BQAAAC,12,226.15000000000003
2010-08-01 00:00:00+00:00,Zydol SR_Tab 100mg,040702040BBACAC,975,19828.539999999994
2010-08-01 00:00:00+00:00,Oldaram_Tab 150mg M/R,040702040BQABAD,5,125.61
2010-08-01 00:00:00+00:00,Zydol XL_Tab 400mg,040702040BBAJAN,44,1160.49
2010-08-01 00:00:00+00:00,Zamadol SR_Cap 150mg,040702040BDADAI,160,3438.240000000001
2010-08-01 00:00:00+00:00,Maxitram SR_Cap 200mg,040702040BPADAJ,105,2454.0499999999997
2010-08-01 00:00:00+00:00,Tramquel SR_Cap 100mg,040702040BJABAH,49,795.72
2010-08-01 00:00:00+00:00,Tramadol HCl_Cap 50mg M/R,040702040AAAGAG,12162,97355.90000000007
2010-08-01 00:00:00+00:00,Larapam SR_Tab 150mg,040702040BGABAI,8,201.87
