month,bnf_name,bnf_code,tramadol_mg
2010-08-01 00:00:00+00:00,Tradorec XL_Tab 200mg,040702040BIABAE,0.0
2010-08-01 00:00:00+00:00,Mabron_Tab 200mg M/R (Morningside),040702040BHACAE,0.0
2010-08-01 00:00:00+00:00,Marol_Tab 100mg M/R,040702040BNAAAC,0.0
2010-08-01 00:00:00+00:00,Tramacet_Tab Eff 37.5mg/325mg,040702040BFABBA,0.0
2010-08-01 00:00:00+00:00,Maxitram SR_Cap 100mg,040702040BPABAH,0.0
2010-08-01 00:00:00+00:00,Zydol_Cap 50mg,040702040BBAAAA,4035550.0
2010-08-01 00:00:00+00:00,Zamadol_Inj 50mg/ml 2ml Amp,040702040BDAFAB,0.0
2010-08-01 00:00:00+00:00,Tramadol HCl_Cap 100mg M/R,040702040AAAHAH,0.0
2010-08-01 00:00:00+00:00,Tramadol/Paracet_Tab Eff 37.5/325mg S/F,040702040AABABA,0.0
2010-08-01 00:00:00+00:00,Dromadol SR_Tab 100mg,040702040BEABAC,0.0
2010-08-01 00:00:00+00:00,Tramadol HCl_Tab 200mg M/R,040702040AAAEAE,0.0
2010-08-01 00:00:00+00:00,Maxitram SR_Cap 150mg,040702040BPACAI,0.0
2010-08-01 00:00:00+00:00,Tramulief SR_Tab 100mg,040702040BKAAAC,0.0
2010-08-01 00:00:00+00:00,Mabron_Tab 100mg M/R (Morningside),040702040BHAAAC,0.0
2010-08-01 00:00:00+00:00,Zydol SR_Tab 50mg,040702040BBAKAY,320800.0
2010-08-01 00:00:00+00:00,Zydol XL_Tab 400mg,040702040BBAJAN,0.0
2010-08-01 00:00:00+00:00,Zydol SR_Tab 150mg,040702040BBADAD,0.0
2010-08-01 00:00:00+00:00,Tramadol HCl_Cap 150mg M/R,040702040AAAIAI,0.0
2010-08-01 00:00:00+00:00,Tramadol HCl_Tab 400mg M/R,040702040AAANAN,0.0
2010-08-01 00:00:00+00:00,Marol_Tab 200mg M/R,040702040BNACAE,0.0
2010-08-01 00:00:00+00:00,Tramadol HCl_Orodisper Tab 50mg,040702040AAATAT,3447000.0
2010-08-01 00:00:00+00:00,Zamadol 24hr_Tab 300mg,040702040BDAJAM,0.0
2010-08-01 00:00:00+00:00,Tramadol HCl_Tab 50mg M/R,040702040AAAYAY,9014950.0
2010-08-01 00:00:00+00:00,Tramadol HCl_Tab 100mg M/R,040702040AAACAC,0.0
2010-08-01 00:00:00+00:00,Oldaram_Tab 200mg M/R,040702040BQACAE,0.0
2010-08-01 00:00:00+00:00,Larapam SR_Tab 100mg,040702040BGAAAC,0.0
2010-08-01 00:00:00+00:00,Tramulief SR_Tab 200mg,040702040BKACAE,0.0
2010-08-01 00:00:00+00:00,Zydol XL_Tab 200mg,040702040BBAHAE,0.0
2010-08-01 00:00:00+00:00,Tramquel SR_Cap 100mg,040702040BJABAH,0.0
2010-08-01 00:00:00+00:00,Tradorec XL_Tab 300mg,040702040BIACAM,0.0
2010-08-01 00:00:00+00:00,Mabron_Tab 150mg M/R (Morningside),040702040BHABAD,0.0
2010-08-01 00:00:00+00:00,Maxitram SR_Cap 50mg,040702040BPAAAG,467100.0
2010-08-01 00:00:00+00:00,Zamadol SR_Cap 50mg,040702040BDABAG,1223250.0
2010-08-01 00:00:00+00:00,Nobligan ret_Tab 100mg,040702040BMAAAC,0.0
2010-08-01 00:00:00+00:00,Zamadol 24hr_Tab 150mg,040702040BDAHAD,0.0
2010-08-01 00:00:00+00:00,Dromadol SR_Tab 150mg,040702040BEACAD,0.0
2010-08-01 00:00:00+00:00,Zydol_Tab Solb 50mg,040702040BBAFAF,653250.0
2010-08-01 00:00:00+00:00,Zeridame SR_Tab 100mg,040702040BLAAAC,0.0
2010-08-01 00:00:00+00:00,Dromadol SR_Tab 200mg,040702040BEADAE,0.0
2010-08-01 00:00:00+00:00,Zeridame SR_Tab 200mg,040702040BLACAE,0.0
2010-08-01 00:00:00+00:00,Tramacet_Tab 37.5mg/325mg,040702040BFAAAU,0.0
